,Disease,Symptom_1,Symptom_2,Symptom_3
0,Fungal infection,itching, skin_rash, nodal_skin_eruptions
1,Fungal infection, skin_rash, nodal_skin_eruptions, dischromic _patches
2,Fungal infection,itching, nodal_skin_eruptions, dischromic _patches
3,Fungal infection,itching, skin_rash, dischromic _patches
4,Fungal infection,itching, skin_rash, nodal_skin_eruptions
5,Fungal infection, skin_rash, nodal_skin_eruptions, dischromic _patches
6,Fungal infection,itching, nodal_skin_eruptions, dischromic _patches
7,Fungal infection,itching, skin_rash, dischromic _patches
8,Fungal infection,itching, skin_rash, nodal_skin_eruptions
9,Fungal infection,itching, skin_rash, nodal_skin_eruptions
10,Allergy, continuous_sneezing, shivering, chills
11,Allergy, shivering, chills, watering_from_eyes
12,Allergy, continuous_sneezing, chills, watering_from_eyes
13,Allergy, continuous_sneezing, shivering, watering_from_eyes
14,Allergy, continuous_sneezing, shivering, chills
15,Allergy, shivering, chills, watering_from_eyes
16,Allergy, continuous_sneezing, chills, watering_from_eyes
17,Allergy, continuous_sneezing, shivering, watering_from_eyes
18,Allergy, continuous_sneezing, shivering, chills
19,Allergy, continuous_sneezing, shivering, chills
20,GERD, stomach_pain, acidity, ulcers_on_tongue
21,GERD, stomach_pain, ulcers_on_tongue, vomiting
22,GERD, stomach_pain, acidity, vomiting
23,GERD, stomach_pain, acidity, ulcers_on_tongue
24,GERD, stomach_pain, acidity, ulcers_on_tongue
25,GERD, stomach_pain, acidity, ulcers_on_tongue
26,GERD, acidity, ulcers_on_tongue, vomiting
27,GERD, stomach_pain, ulcers_on_tongue, vomiting
28,GERD, stomach_pain, acidity, vomiting
29,GERD, stomach_pain, acidity, ulcers_on_tongue
30,Chronic cholestasis,itching, vomiting, yellowish_skin
31,Chronic cholestasis, vomiting, yellowish_skin, nausea
32,Chronic cholestasis,itching, yellowish_skin, nausea
33,Chronic cholestasis,itching, vomiting, nausea
34,Chronic cholestasis,itching, vomiting, yellowish_skin
35,Chronic cholestasis,itching, vomiting, yellowish_skin
36,Chronic cholestasis,itching, vomiting, yellowish_skin
37,Chronic cholestasis,itching, vomiting, yellowish_skin
38,Chronic cholestasis,itching, vomiting, yellowish_skin
39,Chronic cholestasis,itching, vomiting, yellowish_skin
40,Drug Reaction,itching, skin_rash, stomach_pain
41,Drug Reaction,itching, stomach_pain, burning_micturition
42,Drug Reaction,itching, skin_rash, burning_micturition
43,Drug Reaction,itching, skin_rash, stomach_pain
44,Drug Reaction,itching, skin_rash, stomach_pain
45,Drug Reaction, skin_rash, stomach_pain, burning_micturition
46,Drug Reaction,itching, stomach_pain, burning_micturition
47,Drug Reaction,itching, skin_rash, burning_micturition
48,Drug Reaction,itching, skin_rash, stomach_pain
49,Drug Reaction,itching, skin_rash, stomach_pain
50,Peptic ulcer diseae, vomiting, loss_of_appetite, abdominal_pain
51,Peptic ulcer diseae, vomiting, indigestion, abdominal_pain
52,Peptic ulcer diseae, indigestion, loss_of_appetite, abdominal_pain
53,Peptic ulcer diseae, vomiting, loss_of_appetite, abdominal_pain
54,Peptic ulcer diseae, vomiting, indigestion, abdominal_pain
55,Peptic ulcer diseae, vomiting, indigestion, loss_of_appetite
56,Peptic ulcer diseae, vomiting, indigestion, loss_of_appetite
57,Peptic ulcer diseae, vomiting, indigestion, loss_of_appetite
58,Peptic ulcer diseae, vomiting, indigestion, loss_of_appetite
59,Peptic ulcer diseae, vomiting, indigestion, loss_of_appetite
60,AIDS, muscle_wasting, patches_in_throat, high_fever
61,AIDS, patches_in_throat, high_fever, extra_marital_contacts
62,AIDS, muscle_wasting, high_fever, extra_marital_contacts
63,AIDS, muscle_wasting, patches_in_throat, extra_marital_contacts
64,AIDS, muscle_wasting, patches_in_throat, high_fever
65,AIDS, muscle_wasting, patches_in_throat, high_fever
66,AIDS, muscle_wasting, patches_in_throat, high_fever
67,AIDS, patches_in_throat, high_fever, extra_marital_contacts
68,AIDS, muscle_wasting, high_fever, extra_marital_contacts
69,AIDS, muscle_wasting, patches_in_throat, high_fever
70,Diabetes , fatigue, weight_loss, restlessness
71,Diabetes , fatigue, weight_loss, restlessness
72,Diabetes , weight_loss, restlessness, lethargy
73,Diabetes , fatigue, restlessness, lethargy
74,Diabetes , fatigue, weight_loss, lethargy
75,Diabetes , fatigue, weight_loss, restlessness
76,Diabetes , fatigue, weight_loss, restlessness
77,Diabetes , fatigue, weight_loss, restlessness
78,Diabetes , fatigue, weight_loss, restlessness
79,Diabetes , fatigue, weight_loss, restlessness
80,Gastroenteritis, vomiting, sunken_eyes, dehydration
81,Gastroenteritis, vomiting, sunken_eyes, dehydration
82,Gastroenteritis, sunken_eyes, dehydration, diarrhoea
83,Gastroenteritis, vomiting, dehydration, diarrhoea
84,Gastroenteritis, vomiting, sunken_eyes, diarrhoea
85,Gastroenteritis, vomiting, sunken_eyes, dehydration
86,Gastroenteritis, vomiting, sunken_eyes, dehydration
87,Gastroenteritis, sunken_eyes, dehydration, diarrhoea
88,Gastroenteritis, vomiting, dehydration, diarrhoea
89,Gastroenteritis, vomiting, sunken_eyes, diarrhoea
90,Bronchial Asthma, fatigue, cough, high_fever
91,Bronchial Asthma, cough, high_fever, breathlessness
92,Bronchial Asthma, fatigue, high_fever, breathlessness
93,Bronchial Asthma, fatigue, cough, breathlessness
94,Bronchial Asthma, fatigue, cough, high_fever
95,Bronchial Asthma, fatigue, cough, high_fever
96,Bronchial Asthma, fatigue, cough, high_fever
97,Bronchial Asthma, fatigue, cough, high_fever
98,Bronchial Asthma, cough, high_fever, breathlessness
99,Bronchial Asthma, fatigue, high_fever, breathlessness
100,Hypertension , headache, chest_pain, dizziness
101,Hypertension , chest_pain, dizziness, loss_of_balance
102,Hypertension , headache, dizziness, loss_of_balance
103,Hypertension , headache, chest_pain, loss_of_balance
104,Hypertension , headache, chest_pain, dizziness
105,Hypertension , headache, chest_pain, dizziness
106,Hypertension , headache, chest_pain, dizziness
107,Hypertension , chest_pain, dizziness, loss_of_balance
108,Hypertension , headache, dizziness, loss_of_balance
109,Hypertension , headache, chest_pain, loss_of_balance
110,Migraine, acidity, indigestion, headache
111,Migraine, indigestion, headache, blurred_and_distorted_vision
112,Migraine, acidity, headache, blurred_and_distorted_vision
113,Migraine, acidity, indigestion, blurred_and_distorted_vision
